,Country,Year,Cases,Continent,Population
1,Albania,2010,79,Europe,"28,62,427"
2,Albania,2008,76,Europe,"28,62,427"
3,Albania,2011,44,Europe,"28,62,427"
4,Albania,2007,101,Europe,"28,62,427"
5,Albania,2009,83,Europe,"28,62,427"
6,Albania,2006,87,Europe,"28,62,427"
7,Albania,2005,89,Europe,"28,62,427"
8,Algeria,2008,3938,Africa,"4,30,00,000"
9,Algeria,2010,3795,Africa,"4,30,00,000"
10,Algeria,2006,3506,Africa,"4,30,00,000"
11,Algeria,2011,3887,Africa,"4,30,00,000"
12,Algeria,2007,3905,Africa,"4,30,00,000"
13,Algeria,2009,4231,Africa,"4,30,00,000"
14,Argentina,2008,10604,Americas,"4,49,38,712"
15,Argentina,2007,10557,Americas,"4,49,38,712"
16,Armenia,2010,82,Asia,"29,57,500"
17,Armenia,2004,48,Asia,"29,57,500"
18,Armenia,2005,51,Asia,"29,57,500"
19,Armenia,2011,71,Asia,"29,57,500"
20,Armenia,2007,33,Asia,"29,57,500"
21,Armenia,2008,63,Asia,"29,57,500"
22,Armenia,2009,73,Asia,"29,57,500"
23,Armenia,2006,52,Asia,"29,57,500"
24,Australia,2009,6343,Oceania,"2,56,49,909"
25,Australia,2011,5694,Oceania,"2,56,49,909"
26,Australia,2008,6382,Oceania,"2,56,49,909"
27,Australia,2010,6351,Oceania,"2,56,49,909"
28,Austria,2005,1674,Europe,"89,02,600"
29,Austria,2011,2182,Europe,"89,02,600"
30,Austria,2004,2004,Europe,"89,02,600"
31,Austria,2007,1793,Europe,"89,02,600"
32,Austria,2006,1738,Europe,"89,02,600"
33,Austria,2008,1678,Europe,"89,02,600"
34,Austria,2009,1682,Europe,"89,02,600"
35,Austria,2010,1971,Europe,"89,02,600"
36,Azerbaijan,2007,214,Asia,"1,00,67,108"
37,Azerbaijan,2009,267,Asia,"1,00,67,108"
38,Azerbaijan,2010,204,Asia,"1,00,67,108"
39,Azerbaijan,2008,223,Asia,"1,00,67,108"
40,Bahamas,2007,590,Americas,"3,86,870"
41,Bahamas,2006,507,Americas,"3,86,870"
42,Bahamas,2011,238,Americas,"3,86,870"
43,Bahamas,2010,309,Americas,"3,86,870"
44,Bahamas,2005,439,Americas,"3,86,870"
45,Bahamas,2009,589,Americas,"3,86,870"
46,Bahamas,2008,557,Americas,"3,86,870"
47,Bahrain,2008,175,Asia,"15,43,300"
48,Bahrain,2007,145,Asia,"15,43,300"
49,Barbados,2009,174,Americas,"2,87,025"
50,Belarus,2006,672,Europe,"94,65,300"
51,Belarus,2009,497,Europe,"94,65,300"
52,Belarus,2004,775,Europe,"94,65,300"
53,Belarus,2008,492,Europe,"94,65,300"
54,Belarus,2007,629,Europe,"94,65,300"
55,Belarus,2005,819,Europe,"94,65,300"
56,Belgium,2005,6047,Europe,"1,15,24,454"
57,Belgium,2003,5565,Europe,"1,15,24,454"
58,Belgium,2006,6492,Europe,"1,15,24,454"
59,Belgium,2011,6599,Europe,"1,15,24,454"
60,Belgium,2008,6458,Europe,"1,15,24,454"
61,Belgium,2009,6566,Europe,"1,15,24,454"
62,Belgium,2010,6729,Europe,"1,15,24,454"
63,Belgium,2007,6506,Europe,"1,15,24,454"
