,Country,Year,Cases,Crime Rate,Continent
1,Albania,2010,79,2.46544938,Europe
2,Albania,2008,76,2.388887649,Europe
3,Albania,2011,44,1.368164309,Europe
4,Albania,2007,101,3.186456613,Europe
5,Albania,2009,83,2.599661793,Europe
6,Albania,2006,87,2.756123901,Europe
7,Albania,2005,89,2.832771023,Europe
8,Algeria,2008,3938,11.43835482,Africa
9,Algeria,2010,3795,10.69972297,Africa
10,Algeria,2006,3506,10.49953531,Africa
11,Algeria,2011,3887,10.80316606,Africa
12,Algeria,2007,3905,11.51693011,Africa
13,Algeria,2009,4231,12.10580733,Africa
14,Argentina,2008,10604,26.70071116,Americas
15,Argentina,2007,10557,26.81615094,Americas
16,Armenia,2010,82,2.651943422,Asia
17,Armenia,2004,48,1.567289621,Asia
18,Armenia,2005,51,1.663430045,Asia
19,Armenia,2011,71,2.290148234,Asia
20,Armenia,2007,33,1.073456638,Asia
21,Armenia,2008,63,2.046061056,Asia
22,Armenia,2009,73,2.3663046,Asia
23,Armenia,2006,52,1.693897149,Asia
24,Australia,2009,6343,28.96042881,Oceania
25,Australia,2011,5694,25.1883018,Oceania
26,Australia,2008,6382,29.6646569,Oceania
27,Australia,2010,6351,28.52025544,Oceania
28,Austria,2005,1674,20.33479281,Europe
29,Austria,2011,2182,25.93472887,Europe
30,Austria,2004,2004,24.48215777,Europe
31,Austria,2007,1793,21.5769774,Europe
32,Austria,2006,1738,21.00757046,Europe
33,Austria,2008,1678,20.11554812,Europe
34,Austria,2009,1682,20.09644621,Europe
35,Austria,2010,1971,23.4820538,Europe
36,Azerbaijan,2007,214,2.426025495,Asia
37,Azerbaijan,2009,267,2.944873295,Asia
38,Azerbaijan,2010,204,2.220339771,Asia
39,Azerbaijan,2008,223,2.493403104,Asia
40,Bahamas,2007,590,179.4071051,Americas
41,Bahamas,2006,507,156.4496121,Americas
42,Bahamas,2011,238,68.55312579,Americas
43,Bahamas,2010,309,90.11978056,Americas
44,Bahamas,2005,439,137.4632857,Americas
45,Bahamas,2009,589,174.0759787,Americas
46,Bahamas,2008,557,166.935902,Americas
47,Bahrain,2008,175,16.62930616,Asia
48,Bahrain,2007,145,15.6632636,Asia
49,Barbados,2009,174,63.79468378,Americas
50,Belarus,2006,672,6.873398444,Europe
51,Belarus,2009,497,5.157733237,Europe
52,Belarus,2004,775,7.85039875,Europe
53,Belarus,2008,492,5.082282358,Europe
54,Belarus,2007,629,6.46572017,Europe
55,Belarus,2005,819,8.335791323,Europe
56,Belgium,2005,6047,58.0648996,Europe
57,Belgium,2003,5565,54.01282797,Europe
58,Belgium,2006,6492,61.97617507,Europe
59,Belgium,2011,6599,61.36289415,Europe
60,Belgium,2008,6458,60.9120758,Europe
61,Belgium,2009,6566,61.58932732,Europe
62,Belgium,2010,6729,62.81701401,Europe
63,Belgium,2007,6506,61.73402976,Europe
64,Belize,2010,130,41.71653932,Americas
65,Belize,2009,202,66.14319675,Americas
66,Belize,2011,121,38.05893158,Americas
67,Bosnia and Herzegovina,2009,89,2.362194484,Europe
68,Bosnia and Herzegovina,2010,147,3.909419547,Europe
69,Bosnia and Herzegovina,2007,176,4.657274849,Europe
70,Bosnia and Herzegovina,2011,167,4.450689031,Europe
71,Bosnia and Herzegovina,2008,170,4.504308769,Europe
72,Brazil,2009,38414,19.8782271,Americas
73,Brazil,2006,27203,14.47289791,Americas
74,Brazil,2008,32270,16.84737112,Americas
75,Brazil,2007,29334,15.45537318,Americas
76,Brazil,2011,45288,23.02916111,Americas
77,Brazil,2010,46526,23.86603871,Americas
78,Bulgaria,2007,764,9.999629595,Europe
79,Bulgaria,2003,1287,16.41557135,Europe
80,Bulgaria,2004,1175,15.08502821,Europe
81,Bulgaria,2005,1037,13.39946493,Europe
82,Bulgaria,2006,911,11.84729346,Europe
83,Bulgaria,2011,649,8.715931151,Europe
84,Bulgaria,2009,726,9.625233704,Europe
85,Bulgaria,2008,749,9.866529176,Europe
86,Bulgaria,2010,696,9.287018509,Europe
87,Burundi,2009,700,8.567037003,Africa
88,Burundi,2010,699,8.338453907,Africa
89,Burundi,2008,599,7.540865764,Africa
90,Burundi,2011,664,7.743284916,Africa
91,Canada,2009,24821,73.70651758,Americas
92,Canada,2005,26348,81.61466695,Americas
93,Canada,2006,25242,77.36305327,Americas
94,Canada,2007,24512,74.32984122,Americas
95,Canada,2008,25022,75.07811611,Americas
96,Canada,2004,25698,80.44802708,Americas
97,Canada,2003,26128,82.66114732,Americas
98,Canada,2010,26896,79.06729519,Americas
99,Canada,2011,26601,77.44203776,Americas
100,Chile,2009,13178,77.7200071,Americas
101,Chile,2008,12746,75.88895492,Americas
102,Chile,2011,15681,90.80157098,Americas
103,Chile,2007,10477,62.98827638,Americas
104,Chile,2010,13009,76.01517569,Americas
105,Chile,2006,10133,61.52892549,Americas
106,Colombia,2006,6811,15.58704648,Americas
107,Colombia,2004,4350,10.26289236,Americas
108,Colombia,2005,4592,10.66900666,Americas
109,Colombia,2010,6725,14.52645663,Americas
110,Colombia,2011,8039,17.1308172,Americas
111,Colombia,2009,7670,16.80026418,Americas
112,Colombia,2008,6821,15.15583042,Americas
113,Colombia,2007,7139,16.09611148,Americas
114,Costa Rica,2011,6503,137.5837684,Americas
115,Costa Rica,2008,5643,124.7864941,Americas
116,Costa Rica,2009,6502,141.6313968,Americas
117,Costa Rica,2006,4982,113.6970483,Americas
