,Country,Value,Population
1,Albania,559,"28,62,427"
2,Algeria,23262,"4,30,00,000"
3,Argentina,21161,"4,49,38,712"
4,Armenia,473,"29,57,500"
5,Australia,24770,"2,56,49,909"
6,Austria,14722,"89,02,600"
7,Azerbaijan,908,"1,00,67,108"
8,Bahamas,3229,"3,86,870"
9,Bahrain,320,"15,43,300"
10,Barbados,174,"2,87,025"
11,Belarus,3884,"94,65,300"
12,Belgium,50962,"1,15,24,454"
13,Belize,453,"3,98,050"
14,Bosnia and Herzegovina,749,"35,11,372"
15,Brazil,219035,"21,12,70,518"
16,Bulgaria,7994,"70,00,039"
17,Burundi,2662,"1,12,15,578"
18,Canada,231268,"3,79,61,548"
19,Chile,75224,"1,73,73,831"
20,Colombia,52147,"4,62,02,800"
21,Costa Rica,35474,"50,58,007"
22,Croatia,5494,"40,87,843"
23,Cyprus,809,"8,75,900"
24,Czech Republic,16267,"1,06,81,161"
25,Egypt,1001,"10,01,38,465"
26,El Salvador,6186,"67,04,864"
27,Estonia,2418,"13,24,820"
28,Finland,21099,"55,27,405"
29,France,216137,"6,70,60,000"
30,Georgia,1236,"37,29,600"
31,Germany,475468,"8,31,49,300"
32,Greece,6451,"1,07,24,599"
33,Grenada,935,"1,08,825"
34,Guatemala,1843,"1,76,79,735"
35,Guinea,33,"1,22,18,357"
36,Guyana,1289,"7,82,225"
37,Honduras,3580,"91,58,345"
38,Hungary,6289,"97,64,000"
39,Iceland,1286,"3,60,390"
40,India,479628,"1,35,99,33,123"
41,Ireland,13607,"49,21,500"
42,Israel,29245,"91,73,250"
43,Italy,39194,"6,02,52,824"
44,Jamaica,9475,"27,26,667"
45,Japan,87546,"12,60,10,000"
46,Kazakhstan,2215,"1,85,92,700"
47,Kenya,27793,"4,75,64,296"
48,Kuwait,2538,"44,20,110"
49,Kyrgyzstan,182,"63,09,300"
50,Lithuania,4096,"27,93,466"
51,Luxembourg,1998,"6,13,894"
52,Maldives,807,"3,74,775"
53,Mauritius,3466,"12,65,577"
54,Mexico,256262,"12,65,77,691"
55,Mongolia,2497,"30,00,000"
56,Montenegro,337,"6,22,182"
57,Morocco,12935,"3,58,42,238"
58,Mozambique,4144,"2,85,71,310"
59,Netherlands,59345,"1,74,45,781"
60,New Zealand,19894,"49,71,205"
61,Nicaragua,3626,"63,93,824"
62,Norway,20134,"53,67,580"
63,Oman,315,"41,83,841"
64,Paraguay,17956,"70,52,983"
65,Philippines,9748,"10,84,20,484"
66,Poland,16319,"3,83,86,000"
67,Portugal,18020,"1,02,76,617"
68,Romania,3131,"1,94,05,156"
69,Saint Vincent and the Grenadines,1571,"1,10,520"
70,Serbia,3171,"69,01,188"
71,Sierra Leone,1318,"79,01,454"
72,Singapore,8869,"57,03,600"
73,Slovakia,1485,"54,50,421"
74,Slovenia,2782,"20,84,301"
75,Solomon Islands,1015,"6,82,500"
76,Spain,52408,"4,69,34,632"
77,Sweden,121261,"1,03,65,705"
78,Switzerland,19090,"85,86,550"
79,Tajikistan,1088,"91,27,000"
80,Trinidad and Tobago,6199,"13,63,985"
81,Turkey,15977,"8,31,54,997"
82,Uganda,91108,"4,00,06,700"
83,Ukraine,15150,"4,19,02,416"
84,Yemen,278,"2,89,15,284"
