,country,date,sexual violence,rate
3,Albania,2005,89,2.832771023
4,Albania,2006,87,2.756123901
5,Albania,2007,101,3.186456613
6,Albania,2008,76,2.388887649
7,Albania,2009,83,2.599661793
8,Albania,2010,79,2.46544938
9,Albania,2011,44,1.368164309
13,Algeria,2006,3506,10.49953531
14,Algeria,2007,3905,11.51693011
15,Algeria,2008,3938,11.43835482
16,Algeria,2009,4231,12.10580733
17,Algeria,2010,3795,10.69972297
18,Algeria,2011,3887,10.80316606
32,Argentina,2007,10557,26.81615094
33,Argentina,2008,10604,26.70071116
38,Armenia,2004,48,1.567289621
39,Armenia,2005,51,1.663430045
40,Armenia,2006,52,1.693897149
41,Armenia,2007,33,1.073456638
42,Armenia,2008,63,2.046061056
43,Armenia,2009,73,2.3663046
44,Armenia,2010,82,2.651943422
45,Armenia,2011,71,2.290148234
51,Australia,2008,6382,29.6646569
52,Australia,2009,6343,28.96042881
53,Australia,2010,6351,28.52025544
54,Australia,2011,5694,25.1883018
56,Austria,2004,2004,24.48215777
57,Austria,2005,1674,20.33479281
58,Austria,2006,1738,21.00757046
59,Austria,2007,1793,21.5769774
60,Austria,2008,1678,20.11554812
61,Austria,2009,1682,20.09644621
62,Austria,2010,1971,23.4820538
63,Austria,2011,2182,25.93472887
68,Azerbaijan,2007,214,2.426025495
69,Azerbaijan,2008,223,2.493403104
70,Azerbaijan,2009,267,2.944873295
71,Azerbaijan,2010,204,2.220339771
75,Bahamas,2005,439,137.4632857
76,Bahamas,2006,507,156.4496121
77,Bahamas,2007,590,179.4071051
78,Bahamas,2008,557,166.935902
79,Bahamas,2009,589,174.0759787
80,Bahamas,2010,309,90.11978056
81,Bahamas,2011,238,68.55312579
86,Bahrain,2007,145,15.6632636
87,Bahrain,2008,175,16.62930616
97,Barbados,2009,174,63.79468378
101,Belarus,2004,775,7.85039875
102,Belarus,2005,819,8.335791323
103,Belarus,2006,672,6.873398444
104,Belarus,2007,629,6.46572017
105,Belarus,2008,492,5.082282358
106,Belarus,2009,497,5.157733237
109,Belgium,2003,5565,54.01282797
111,Belgium,2005,6047,58.0648996
112,Belgium,2006,6492,61.97617507
113,Belgium,2007,6506,61.73402976
114,Belgium,2008,6458,60.9120758
115,Belgium,2009,6566,61.58932732
116,Belgium,2010,6729,62.81701401
117,Belgium,2011,6599,61.36289415
124,Belize,2009,202,66.14319675
125,Belize,2010,130,41.71653932
126,Belize,2011,121,38.05893158
129,Bolivia (Plurinational State of),2005,1725,18.8593535
130,Bolivia (Plurinational State of),2006,1931,20.7485822
131,Bolivia (Plurinational State of),2007,2397,25.32890326
132,Bolivia (Plurinational State of),2008,2571,26.72983405
133,Bolivia (Plurinational State of),2009,2956,30.24523297
134,Bolivia (Plurinational State of),2010,3944,39.71863016
135,Bolivia (Plurinational State of),2011,3537,35.0610838
140,Bosnia and Herzegovina,2007,176,4.657274849
141,Bosnia and Herzegovina,2008,170,4.504308769
142,Bosnia and Herzegovina,2009,89,2.362194484
143,Bosnia and Herzegovina,2010,147,3.909419547
144,Bosnia and Herzegovina,2011,167,4.450689031
148,Brazil,2006,27203,14.47289791
149,Brazil,2007,29334,15.45537318
150,Brazil,2008,32270,16.84737112
151,Brazil,2009,38414,19.8782271
152,Brazil,2010,46526,23.86603871
153,Brazil,2011,45288,23.02916111
154,Bulgaria,2003,1287,16.41557135
155,Bulgaria,2004,1175,15.08502821
156,Bulgaria,2005,1037,13.39946493
157,Bulgaria,2006,911,11.84729346
158,Bulgaria,2007,764,9.999629595
159,Bulgaria,2008,749,9.866529176
160,Bulgaria,2009,726,9.625233704
161,Bulgaria,2010,696,9.287018509
162,Bulgaria,2011,649,8.715931151
168,Burundi,2008,599,7.540865764
169,Burundi,2009,700,8.567037003
170,Burundi,2010,699,8.338453907
171,Burundi,2011,664,7.743284916
172,Canada,2003,26128,82.66114732
173,Canada,2004,25698,80.44802708
174,Canada,2005,26348,81.61466695
175,Canada,2006,25242,77.36305327
176,Canada,2007,24512,74.32984122
177,Canada,2008,25022,75.07811611
178,Canada,2009,24821,73.70651758
179,Canada,2010,26896,79.06729519
180,Canada,2011,26601,77.44203776
184,Chile,2006,10133,61.52892549
185,Chile,2007,10477,62.98827638
186,Chile,2008,12746,75.88895492
187,Chile,2009,13178,77.7200071
188,Chile,2010,13009,76.01517569
189,Chile,2011,15681,90.80157098
191,Colombia,2004,4350,10.26289236
192,Colombia,2005,4592,10.66900666
193,Colombia,2006,6811,15.58704648
194,Colombia,2007,7139,16.09611148
195,Colombia,2008,6821,15.15583042
196,Colombia,2009,7670,16.80026418
197,Colombia,2010,6725,14.52645663
198,Colombia,2011,8039,17.1308172
202,Costa Rica,2006,4982,113.6970483
203,Costa Rica,2007,5333,119.7725019
204,Costa Rica,2008,5643,124.7864941
205,Costa Rica,2009,6502,141.6313968
206,Costa Rica,2010,6511,139.7544092
207,Costa Rica,2011,6503,137.5837684
212,Cote d'Ivoire,2007,858,4.601337048
213,Cote d'Ivoire,2008,716,3.770999821
217,Croatia,2003,549,12.31884399
218,Croatia,2004,485,10.90004724
219,Croatia,2005,622,14.00274562
220,Croatia,2006,610,13.75797822
221,Croatia,2007,681,15.38637075
222,Croatia,2008,761,17.22347997
223,Croatia,2009,658,14.91771227
224,Croatia,2010,567,12.87661838
225,Croatia,2011,561,12.76287891
227,Cyprus,2004,137,13.48682721
228,Cyprus,2005,112,10.84680629
229,Cyprus,2006,101,9.634903918
230,Cyprus,2007,128,12.04108644
