"","Country","Values"
"1","Albania",559
"2","Algeria",23262
"3","Argentina",21161
"4","Armenia",473
"5","Australia",24770
"6","Austria",14722
"7","Azerbaijan",908
"8","Bahamas",3229
"9","Bahrain",320
"10","Barbados",174
"11","Belarus",3884
"12","Belgium",50962
"13","Belize",453
"14","Bolivia (Plurinational State of)",19061
"15","Bosnia and Herzegovina",749
"16","Brazil",219035
"17","Bulgaria",7994
"18","Burundi",2662
"19","Canada",231268
"20","Chile",75224
"21","Colombia",52147
"22","Costa Rica",35474
"23","Cote d'Ivoire",1574
"24","Croatia",5494
"25","Cyprus",809
"26","Czech Republic",16267
"27","Egypt",1001
"28","El Salvador",6186
"29","Estonia",2418
"30","Finland",21099
"31","France",216137
"32","Georgia",1236
"33","Germany",475468
"34","Greece",6451
"35","Grenada",935
"36","Guatemala",1843
"37","Guinea",33
"38","Guyana",1289
"39","Honduras",3580
"40","Hong Kong Special Administrative Region of China",13488
"41","Hungary",6289
"42","Iceland",1286
"43","India",479628
"44","Ireland",13607
"45","Israel",29245
"46","Italy",39194
"47","Jamaica",9475
"48","Japan",87546
"49","Kazakhstan",2215
"50","Kenya",27793
"51","Kuwait",2538
"52","Kyrgyzstan",182
"53","Latvia*",3424
"54","Lithuania",4096
"55","Luxembourg",1998
"56","Maldives",807
"57","Malta*",392
"58","Mauritius",3466
"59","Mexico",256262
"60","Mongolia",2497
"61","Montenegro",337
"62","Morocco",12935
"63","Mozambique",4144
"64","Netherlands",59345
"65","New Zealand",19894
"66","Nicaragua",3626
"67","Norway",20134
"68","Oman",315
"69","Panama*",7110
"70","Paraguay",17956
"71","Philippines",9748
"72","Poland",16319
"73","Portugal",18020
"74","Republic of Korea",95507
"75","Republic of Moldova",3570
"76","Romania",3131
"77","Russian Federation",159439
"78","Saint Vincent and the Grenadines",1571
"79","Sao Tome and Principe",0
"80","Serbia",3171
"81","Sierra Leone",1318
"82","Singapore",8869
"83","Slovakia",1485
"84","Slovenia",2782
"85","Solomon Islands",1015
"86","Spain",52408
"87","Sweden",121261
"88","Switzerland",19090
"89","Syrian Arab Republic",155
"90","Tajikistan",1088
"91","The former Yugoslav Republic of Macedonia",832
"92","Trinidad and Tobago",6199
"93","Turkey",15977
"94","Uganda",91108
"95","Ukraine",15150
"96","Yemen",278
